ward_no,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198
132,5,4,20,28,0,0,12,,35,41,0,15,,27,0,,15,0,,46,,,,,0,,,,,,,19,,,41,9,6,7,66,2,67,2,,8,21,7,,,,6,6,,,12,9,,14,19,,,,,12,19,31,3,45,,1,1,76,30,113,,,54,7,,12,17,,6,12,,,,4,,,7,,,7,82,94,77,,,44,,4,,17,45,93,187,52,11,3,88,39,,,,,,,,20,9,128,13,54,33,233,160,1,106,128,22,41,392,72,22,,22,3,14,20,54,22,30,3,,,,,,,,,,6,25,3,0,26,53,7,71,12,2,6,3,,3,19,25,12,7,,,9,,2,19,22,6,12,3,3,3,7,,,,,,,,,,,,,,,3
133,20,4,64,85,,,13,13,134,165,2,3,,2,,,4,6,,18,,,,,,,,,,,,14,,,38,45,,18,4,6,4,,,4,50,4,2,,,,,,,,,,4,19,,,,,9,7,14,14,99,,,,8,39,26,,9,29,2,,,8,,,,,,,1,3,3,1,,,12,23,30,19,,,43,6,23,9,10,14,46,83,67,21,1,22,13,13,,9,,,,,14,3,34,5,67,88,49,14,29,32,11,,3,75,243,90,,62,3,18,36,61,1,58,18,,,,,3,,,13,,34,42,,,3,55,,19,6,16,26,13,16,23,34,55,23,32,19,9,,3,3,16,23,3,31,16,,13,,,,,,24,3,6,6,,8,,,,6,6
134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2,2,,,,,2,,,,,,,,0,5,4,,2,,,,,2,,,,,,,0,,,0,,,,19,,,,,,1,3,1,2,2,6,,,,6,19,5,,,,,,,,26,10,,,2,5,4,3,6,6,137,63,197,9,37,81,,131,0,46,120,14,,15,5,,,,,,,,,,10,10,,,,92,330,150,,,,,,0,9,10,7,10,2,1,,,,2,,,1,,,,,1,,,,2,,,,,3,,,,,12
135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,1,2,,,,,2,,,,,,,,0,2,2,,1,,,,,1,,,,,,,0,,,0,,,,19,,,,,,0,1,0,1,1,2,0,,,7,18,6,,,,,,,,26,10,,,0,3,3,1,3,5,102,49,150,8,24,120,,48,0,34,90,8,,8,3,,,,,,,,,,5,5,,,1,69,246,127,,,,,,0,5,6,3,5,1,0,,,,1,,,0,,,,,1,,,,0,,,,,1,,,,,10
137,,,,,,11,,,,,,,,,,,,,,,,,9,,,,,,,9,11,6,6,3,,,,,,3,,,,4,,17,3,,,,,,,,,,,,,2,6,,24,,,,4,,,,,13,12,,,,,9,,,,,,,,,,,,,,,4,2,,3,,,2,,,,4,9,,8,1,,2,62,20,,,3,3,,10,6,38,10,9,6,2,1,,1,,,4,,,4,4,2,,1,27,15,19,25,1,10,2,,,,,,,,,,2,5,4,2,,,,,,,,,,,4,5,2,1,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,
138,,,,,,0,,,,,,,,0,0,,,,,,,,0,,,,,,,,0,,,,,,,0,0,6,0,0,0,0,,,,,,,,,,,,,0,0,,,0,,0,,,0,1,0,,0,3,17,5,,0,,,0,,0,,,,,,,0,,,0,,,0,1,3,1,,,1,0,8,4,0,0,4,4,0,0,0,1,0,,,,,,,0,4,5,9,0,,0,0,0,,0,4,1,5,0,0,4,,3,0,7,8,1,,0,0,0,0,,,,,,,,0,0,,,0,2,11,3,,,,,,0,0,0,0,0,0,,,,,0,0,,0,,,,,0,,,,0,,,,0,0,0,,,,0
139,1,,0,2,3,1,3,0,0,2,3,4,,3,1,,0,0,0,4,0,,0,0,,,,,,,1,0,1,1,7,1,0,6,7,28,8,2,,3,4,2,0,,,3,1,3,1,0,2,,,,,0,0,,4,1,7,0,3,0,0,0,27,92,31,,,,1,0,3,1,,1,2,4,7,2,8,2,0,1,,,3,27,17,8,,,3,0,44,22,4,6,23,23,1,1,17,35,20,3,5,4,0,0,2,5,61,24,45,2,,1,8,4,2,3,99,48,120,6,11,90,,74,4,71,67,63,17,32,11,3,3,15,,0,6,4,8,0,4,11,26,7,17,79,198,166,3,18,11,5,3,14,4,3,1,1,0,,5,3,0,1,0,,0,5,3,1,2,1,6,,,1,2,5,3,4,2,0,,,5,83
140,,,,,,,,,,,,4,,17,2,,2,1,1,,,,1,,,,,,,4,,,1,2,10,2,2,9,42,4,42,13,10,17,11,2,,,,,,,,,,,,,,1,,,3,2,13,21,52,14,2,1,53,18,39,,9,4,0,1,,1,,,,,,,,,1,,,,7,60,25,11,4,,52,21,10,2,15,34,26,26,10,27,43,40,14,2,,1,,,1,51,196,27,60,5,7,8,54,41,14,7,60,17,2,36,39,22,,14,11,19,130,224,79,170,110,56,61,196,,,1,25,85,21,42,77,121,29,67,94,22,251,15,70,58,20,10,38,45,61,35,55,42,2,65,39,3,50,16,3,12,11,6,6,13,2,12,1,,73,30,48,47,145,84,22,,,13,239
141,,,,,,,,,,,,3,,8,0,,,,,,,,,,,,,,,,,,,,,,,0,31,,32,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,39,3,22,,,,,,,2,,,,,,,,,1,,,,,10,,,,,,,5,,10,22,9,0,,,2,14,1,3,,2,,,2,2,23,1,0,0,1,0,38,31,1,2,55,17,1,26,1,,,,0,,61,136,5,16,3,,0,,,,,,,,3,11,7,6,59,71,22,214,,3,9,3,,7,9,10,6,3,,,7,,,9,1,1,2,1,,,1,,5,,,,,,,,,,,,5,203
142,,,,,,,,,,,,,,,,,11,3,2,,,,,,,,,,,,,,3,7,37,11,3,7,,11,,,3,23,30,7,,,,,,,,,,,5,17,,,,,3,3,48,,56,11,,,7,30,19,,5,,3,5,7,20,,,,,,,2,2,,5,5,,28,194,29,6,,,43,,30,7,3,10,26,26,8,17,121,142,156,,,,,,,63,327,30,49,7,15,14,31,34,11,,,,5,49,90,58,,33,11,15,158,409,23,506,263,,35,,,,,,,,113,321,596,99,20,84,,115,70,346,262,102,124,74,150,142,79,78,15,7,15,,,49,30,7,30,19,16,87,53,107,3,,,11,,,,,19,,,,70,11
143,0,1,1,4,,4,2,,2,5,,,,7,4,4,5,1,0,7,2,1,2,,1,,,2,2,,2,4,,6,18,1,2,18,,1,,,0,2,9,1,,,,,,,,,,,2,13,,0,1,,2,1,14,1,15,2,,,0,2,1,0,3,4,2,6,4,21,,,,,,,1,5,,7,2,,9,84,13,2,,0,11,8,3,0,,0,4,8,5,7,29,198,142,4,,,,,4,106,263,4,12,0,0,1,1,1,1,,,,,1,8,5,,3,0,6,16,73,1,73,424,56,126,221,,,2,53,112,23,273,31,72,16,3,7,11,32,6,36,25,13,48,278,194,244,116,115,38,4,67,56,12,92,46,116,268,47,51,40,3,61,16,168,7,109,33,45,46,137,104,41,55,68,370,367
144,,,1,6,,,3,,,,,,,1,,,1,,,3,,,,,,,,,,,,,,,2,,0,1,0,,,0,,0,1,,,,,,,,,,,,,,,,,,,0,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1,6,1,0,,,0,3,0,,,,0,1,2,1,3,23,15,,,,,,4,51,54,0,2,,,,,,,,,,,,,,,,,0,5,40,,,60,6,83,222,,1,2,56,119,30,19,,,,,,,,,,,,3,7,4,7,1,19,29,3,68,53,9,19,1,0,12,4,8,4,,5,,0,0,46,35,47,50,122,59,16,1,,5,
145,,0,7,27,,8,12,,2,3,,,,9,,,4,,,16,0,2,5,,2,,,5,4,,5,8,0,11,16,,2,6,10,,5,3,1,8,4,4,,,,1,0,1,0,,0,,,1,,1,2,,5,2,11,,14,1,,,,,,1,0,5,0,7,4,4,,,,,,,,1,,2,0,,16,120,5,2,,1,6,5,3,,,,1,2,5,5,16,487,200,1,,,,1,100,121,77,1,4,,,,,,,,,0,,,,,,,,1,5,52,0,12,162,99,335,641,5,8,2,101,394,84,113,,24,5,1,3,13,16,4,17,14,10,34,42,41,88,40,77,96,7,229,153,18,75,19,10,116,43,34,23,1,23,1,6,2,159,98,141,135,339,191,58,19,,12,21
146,,,,,,,,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,0,,1,,7,,4,1,1,4,1,,,,,,,,,,,,,15,,,,,,,4,,13,1,,,,,,0,,2,,,,17,,,,,,,,4,,8,,,7,136,2,2,,1,7,,1,,,,0,0,1,4,6,493,35,1,,0,0,1,135,264,240,,,,,,,,,,,,,,,,,,,,28,172,,,291,271,657,1340,7,7,14,391,946,63,15,,,,,,,,,,,,,2,3,9,5,67,97,2,608,457,44,61,7,1,4,,,,,,,,,192,285,418,402,500,225,60,,,,
147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,34,8,,,,,,,,,,,,21,,,,,,,,4,,8,,,13,17,8,8,,,34,,,,,,,,,17,,161,279,13,,8,8,8,231,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,74,122,30,,,458,4,,,,,,,,,,,,,,4,,4,,4,8,4,183,165,34,30,4,,8,,,,,,,,,17,78,104,113,43,,,,,,
148,,,,,,,,,,,,,,,,,,,,,,,,16,16,21,27,,48,,,,,,48,,,5,,,,,,5,5,,,,10,48,5,5,,16,,,16,108,27,,,,16,,,,21,5,,,,,,,,,,10,92,130,5,16,38,32,65,10,43,65,54,10,,,10,70,5,5,,,21,,,,,,,,,10,59,108,234,239,59,723,130,10,293,185,179,,,,,,,,,,,,,,21,,,,,,5,,,,,21,97,87,38,544,10,223,680,16,43,,,5,,27,,,5,21,27,16,48,76,,32,10,27,76,59,108,179,5,141,97,10,97,38,32,10,5,16,,,,16,21,48,43,38,21,5,,,,
149,,,,,,31,8,,,7,,,,,,,29,14,,7,,7,,20,29,,22,,7,,,,,,,,,22,,,,22,7,,,,,,,37,39,,,122,51,14,,,,,,,,,,,,,7,,,,74,,,,,,22,7,13,109,267,963,1083,378,1434,657,8,7,,,,74,,,,,,,,,,,,,,,,512,1252,303,762,685,,,,4,414,,,,,,,,,,37,29,22,,,,,,,,37,4,,,10,10,8,44,,2,2009,541,51,,,,,,,22,74,7,,14,14,7,22,44,,7,,7,14,17,26,69,,39,7,,14,,,,,,,,,8,7,14,14,20,11,2,,,,
150,35,71,83,247,,913,801,251,19,199,,,,,,183,259,167,,,,135,,1005,1655,143,426,,155,,,,,,159,,,299,,,,299,63,,35,,,,,351,1452,,,586,442,630,11,3,15,,,,,,,,,,199,,,,754,,,,,,47,43,1611,1296,1073,1113,3949,885,1460,650,7,,,,,187,7,3,,,,,,,3,7,,3,,,3,945,1308,343,805,769,,,91,570,849,,3,3,,,,,,,813,506,426,,,,,,,,67,191,,,602,590,881,3335,,163,1460,9454,3031,,,,,,,490,1228,522,107,327,327,163,506,873,,371,,343,785,23,1847,5525,127,1272,678,107,829,243,51,215,71,,,,,107,155,183,386,394,143,35,,,,143
151,,,,,,,,,,,,,,20,,,34,,,,,,,15,15,20,25,,45,,,,,,64,,22,5,50,,30,10,10,35,27,,,,10,41,5,5,,11,,,15,106,25,,,,22,,44,,76,8,,,,,,11,,20,,10,81,384,3,11,11,,34,7,31,182,49,116,,,77,266,20,20,,10,35,,22,,,,11,11,22,29,47,771,449,334,54,285,114,5,369,456,377,,,,,,,,,,,,,,20,,,,,,39,203,,,398,396,1096,2565,133,158,44,965,2571,58,82,,,88,,27,,,3,134,123,66,168,184,,83,7,47,175,139,1171,936,77,203,171,7,284,72,60,20,3,7,,,,21,392,551,527,274,15,3,,,,
152,,,56,168,,,74,,,,,,,74,,,,,,74,,,,,,,,,,,,,,,56,,,93,18,,,18,,37,18,,,,,14,,,,,,,,,,,,,,18,56,,,,,,,,,,,,,,18,65,,,,,,,,18,9,18,,,18,196,18,,,,,,,,,,,,,,70,575,215,74,4,37,18,,145,140,313,,,,,,,,,,,,,,,,,,,,9,191,,,308,374,865,631,4,14,,,215,411,159,,,9,,,,,4,9,23,9,23,37,4,32,9,346,701,159,28,18,121,336,37,9,46,14,,,4,9,,,,992,74,37,149,1895,1183,304,,,,
153,0,1,6,22,,8,11,,,,,,,10,5,2,8,,,18,2,2,5,,2,,,5,4,,5,8,,11,23,2,4,27,0,3,,0,0,2,13,2,,,,,,,,,,,,11,,1,2,,4,3,21,0,14,3,,,2,8,6,2,2,5,4,6,1,14,,,,,,,,4,,6,,,18,87,18,2,,0,11,12,10,2,,1,9,13,8,10,33,234,166,2,,,,,16,70,186,7,20,,2,3,5,6,4,,,,2,5,29,20,,12,1,8,11,54,2,61,531,35,172,22,,5,,,45,23,155,47,5,,2,6,15,52,2,9,9,8,64,239,215,278,165,159,29,12,11,7,12,113,58,88,274,63,59,56,1,88,20,125,7,93,4,1,5,60,70,33,52,57,290,279
154,,,,,,,,,12,25,,,,,,,12,14,9,,,,,,,,,,,,,,,,63,11,3,8,,9,,,3,8,32,,,,,,,,,,,,,,,,,,,4,58,,25,9,,,6,25,21,,,,3,,,,,,,,,,,,,,,,19,116,21,,,,25,,16,6,4,8,19,17,,12,48,98,,,,,,,,,171,27,40,4,16,14,27,30,14,,,,6,51,84,51,,29,8,12,74,235,19,406,142,,,,,,,,,,111,259,12,,9,19,,48,,9,6,,145,147,176,165,95,94,22,11,24,,,66,40,9,53,64,64,116,,113,14,,,9,,,,,16,,,,72,21
155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,5,,,,,,,,,7,,3,,,,,,,,,,,3,13,,,,,1,3,3,,15,,,,,,,,3,,,3,5,15,,,,,,,1,1,,3,3,,7,54,3,3,,,7,,5,,,1,1,3,5,1,50,27,113,,,,,,,46,107,1,1,1,,,3,1,,,,,3,1,,,,,1,,49,109,3,224,97,,25,,,,,,,,3,3,261,57,7,42,,55,38,192,144,48,,,3,5,1,1,,,,,,,,,,,,,28,3,,,,,,,,,,,,,,
156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,1,5,,9,,,14,,,,,,,,,,,,,5,14,,,,,,7,7,,29,,,,10,,3,,7,,,,,82,,,,,,,1,38,1,31,,,,53,3,7,,,14,,,,1,3,1,7,10,3,36,32,124,36,3,32,29,,14,38,80,3,3,3,,,3,1,,,7,3,10,1,,,,,3,,54,100,12,142,84,,20,,,1,,,127,3,,,219,87,16,58,7,3,,151,56,49,58,54,,21,,12,43,27,7,1,,29,31,,73,10,3,3,,,,,,,1,3,3,,,,,,,
157,1,,5,11,1,1,7,,13,15,,30,,43,1,,,,,13,,,,,1,,,,,,,5,,,13,3,,3,133,5,137,5,,,5,1,,,,,,,,,,,,,,,,,3,1,17,1,11,,3,5,175,13,83,,,17,1,,,5,,,,,,,,,3,,,,,20,,,,,13,,5,,40,76,38,19,15,1,5,30,19,7,,5,,,5,13,53,,,,1,1,123,82,3,5,122,36,3,62,7,,,11,,11,127,242,123,30,19,,5,,,,,,,,7,11,30,17,30,171,47,446,,24,17,3,3,19,11,15,7,3,7,3,7,3,,17,9,,7,11,,,1,,11,,,,3,7,7,,,,,,11,423
158,4,7,19,19,0,12,4,1,26,37,1,6,,17,0,2,29,11,,5,,3,,7,6,,11,,3,,,1,,,8,7,,22,38,1,40,18,4,12,13,0,,,,7,1,,,13,1,7,,8,,,,,1,0,3,0,26,,11,0,45,10,76,,,3,0,,,2,6,29,16,4,31,,,2,2,,,,,24,1,1,,,10,,8,1,11,23,22,23,18,2,8,17,8,8,,6,,,,4,32,8,,,2,4,53,31,0,1,193,87,217,27,27,110,,89,,33,124,72,31,26,8,,2,,,2,6,50,8,,4,4,35,13,36,122,377,379,28,53,46,21,35,61,4,19,2,9,20,5,13,27,5,34,31,,32,24,6,15,11,7,2,,,12,2,5,5,,,,,,7,152
159,0,0,2,1,,18,3,2,3,11,2,9,,5,0,3,31,16,,5,,5,,11,8,,17,,5,,,,,,6,0,,37,12,,13,30,7,2,3,,,,,11,1,,,8,1,11,,,,,,,2,,,,4,,19,,14,2,86,,,,,,,,8,20,10,4,23,1,,,,,,,,15,1,1,,,1,,,2,,2,2,6,2,1,2,7,,,,,,,,0,9,11,,,,,5,1,7,1,225,111,197,1,,114,,93,,42,90,5,2,,3,,3,,,,5,36,,,2,,,0,2,110,469,102,3,14,14,7,19,36,1,8,2,4,9,1,8,19,,12,7,0,18,7,3,9,1,14,,0,,,1,2,2,,,,,,4,45
160,15,31,72,62,,13,9,27,90,127,5,7,,54,,40,56,17,,4,,1,,15,22,,5,,1,,,,,,24,28,,62,70,,72,45,2,58,57,,,,,3,16,,,12,0,3,,,,,,,2,,,,110,,29,,74,7,106,,,,,,,,15,22,16,2,37,,,,,,,,,95,6,6,,,35,,3,,13,27,53,81,71,10,40,103,16,,,,,,,10,150,22,,,3,3,102,48,,3,413,201,462,54,14,264,,242,,66,386,284,141,54,54,,21,,,,3,78,,,45,18,69,1,141,558,516,2252,123,78,53,9,51,106,30,42,12,10,19,5,9,50,3,65,48,9,62,78,59,132,56,216,21,,,,0,10,10,14,,14,,,115,1091
161,1,,3,6,,6,6,22,7,16,,,,,,37,4,,,,,,,9,16,,,,,,,,,,1,2,,84,25,,34,74,,,10,,,,,3,12,,,,,,2,3,,,,,,,,1,4,,45,,21,4,131,,,,,,1,6,9,,,,6,,1,,1,1,,,,16,,,,,1,,15,1,8,21,14,1,2,1,16,6,30,4,,2,,,,11,32,,,,1,2,34,17,,12,132,45,8,17,8,,,,,,16,32,,59,20,,10,,,1,,29,3,1,4,,86,,,74,30,221,155,69,51,11,23,53,2,6,2,2,4,2,,34,12,79,53,,51,63,47,72,107,25,,,,,1,2,2,,,,,,15,25
162,0,,2,4,,14,3,,5,12,,,,,,,25,12,,3,,4,,7,4,,14,,4,,,,3,6,10,1,,20,2,,3,18,6,,1,6,,,,9,,,,18,1,9,10,17,,,,,3,6,6,0,3,,11,,4,6,66,,,,,3,4,52,6,39,23,6,42,,3,22,3,18,3,,12,59,1,,,,0,,7,1,0,3,3,0,1,0,47,28,128,30,1,24,17,,8,39,103,,,,1,3,4,2,,,45,28,44,2,15,,,,,,55,103,3,213,80,,29,,,3,7,64,83,1,11,4,314,65,10,103,93,102,50,224,233,73,78,97,7,41,5,19,53,24,18,37,0,46,40,,86,39,3,13,23,11,,,,4,6,12,12,,,,,,6,6
163,1,,5,11,,17,3,,13,23,,,,,,,31,15,,3,,5,,9,5,,17,,5,,,,1,3,5,3,,28,8,,14,23,7,,3,3,,,,14,,,,23,1,11,9,25,,,,,1,,,1,7,,13,,17,7,86,,,,,3,6,66,7,49,29,7,52,,3,28,4,22,3,,7,39,4,,,,1,,18,1,2,10,9,1,3,1,41,24,125,37,3,31,19,,9,34,91,,,,1,5,15,7,,,56,35,52,7,31,,,,,,43,106,9,201,70,,31,,,4,9,80,95,4,13,3,294,30,8,111,119,86,47,291,215,123,99,129,8,49,6,23,60,25,21,45,1,51,49,,102,51,3,19,51,17,,,,11,5,11,11,,,,,,9,7
164,1,,4,9,,13,3,,10,18,,,,,,,24,12,,3,,4,,7,4,,13,,4,,,,,,1,3,,22,9,,15,18,6,,3,,,,,13,,,,18,1,9,10,21,,,,,,,,1,6,,10,,18,6,68,,,,,,1,48,6,38,22,6,41,,4,16,4,15,,,,24,3,,,,1,,12,1,3,9,7,1,3,1,21,16,97,30,1,22,12,,6,25,45,,,,1,4,12,6,,,44,27,38,6,24,,,,,,33,57,6,121,56,,35,,,4,7,62,79,3,18,,152,41,3,79,92,22,16,143,191,103,108,115,9,48,9,22,56,24,30,33,1,42,41,,124,41,3,15,36,13,,,,9,3,6,6,,,,,,7,6
165,,,,,,34,15,14,3,23,,,,,,23,45,22,,6,,8,,28,32,,25,,8,,,2,,3,12,,,52,,,,48,11,4,9,0,,,,22,18,,,19,2,16,8,26,,,,,,,16,,,,29,,,3,128,2,,5,,,1,66,25,37,23,11,52,,2,31,8,22,,,0,50,10,,,2,8,5,4,0,,,0,,,,17,119,124,58,2,43,22,,15,24,82,,,,0,1,,,,,113,76,52,,18,,,,,,11,17,,91,127,7,70,,,8,14,119,125,4,87,84,,30,1,80,154,80,20,94,95,66,254,311,59,112,25,35,78,35,27,65,0,85,75,7,260,90,48,194,13,203,2,,7,5,4,9,9,,,15,18,,148,31
166,0,1,1,5,,19,8,0,3,15,,,,,,2,30,18,2,9,2,6,,11,8,,20,,7,,,2,,4,19,1,0,32,1,0,2,30,7,0,5,0,,,,14,1,,,14,2,13,4,15,0,,,,,2,8,,,,17,,2,3,88,1,,3,0,,3,26,11,29,16,7,36,0,1,12,4,8,,,5,42,6,,,1,4,3,4,0,0,1,2,0,,,14,96,48,24,1,17,7,,8,10,115,0,1,,0,0,2,1,,1,49,33,33,1,8,0,,0,,0,18,23,2,18,249,6,29,1,0,4,9,70,46,2,110,29,,9,3,48,97,56,16,39,42,24,105,239,87,109,7,15,39,14,18,38,1,41,33,52,212,76,90,67,8,83,26,103,1,1,2,5,6,3,1,10,20,40,272,256
167,,,,,,5,,,,,,,,6,3,3,5,,,2,,1,3,,1,,,3,2,,3,5,,7,12,2,2,18,,4,,,,2,13,1,,,,,,,,,,,,7,,0,1,,2,,20,0,12,1,,,2,11,7,,0,5,3,4,0,12,,,,,,,,3,,5,,,8,74,13,0,,,4,7,7,2,1,2,9,10,3,4,20,197,114,2,,,,,10,43,187,11,18,1,6,5,11,15,4,,,,3,23,41,27,,15,3,7,17,84,9,116,538,10,89,7,,,,,,0,305,107,7,,5,11,13,50,1,9,8,5,62,268,41,305,152,135,20,7,10,4,4,100,62,116,303,52,54,55,0,85,18,162,6,59,0,,,23,44,27,58,62,367,374
168,0,1,1,5,,31,7,,,2,,,,,,15,25,5,,11,2,8,11,7,10,,14,7,10,,11,11,,16,25,3,3,15,,6,,8,2,6,29,3,,,,12,0,,,17,2,12,2,30,,1,5,,6,0,31,,,,4,,3,19,45,0,5,1,,11,5,64,12,37,18,3,51,2,3,24,4,25,,,12,90,33,2,,0,5,25,19,4,2,5,22,25,11,11,49,181,257,40,3,24,11,,26,73,222,20,29,1,10,12,20,14,11,,19,12,21,30,64,28,,20,4,9,12,111,10,106,658,18,186,20,0,5,4,89,63,6,386,98,11,11,7,45,72,67,5,51,48,30,114,329,298,329,238,175,71,22,36,49,0,233,189,162,564,103,63,93,2,128,12,169,25,24,4,11,11,16,9,77,148,74,379,330
169,,,,,,17,,,,,,,,20,11,11,10,,,4,,2,11,,4,,,5,4,,11,8,,11,22,2,2,53,,2,,,,5,26,2,,,,,,,,,,,,17,,1,5,,5,,37,2,23,2,,,1,5,8,,1,8,5,10,1,25,2,,,,,,8,10,,11,,,13,77,25,1,,,13,11,4,1,2,4,5,13,5,8,43,144,175,7,8,5,,,14,69,128,13,23,1,4,4,14,22,7,,,,2,23,43,32,,17,2,13,10,98,10,92,483,5,131,17,,2,,,8,2,355,87,5,,5,10,25,29,2,10,10,8,40,35,230,369,151,342,50,23,20,14,14,262,108,38,154,44,28,32,1,40,2,4,1,195,2,,,108,157,41,20,,5,25
170,,,3,13,,20,9,,,2,,,,14,7,,9,4,,6,,3,6,6,5,,11,,3,,6,,,,6,,,39,,1,,6,2,1,6,,,,,10,0,,,11,2,10,2,9,,,3,,1,1,8,2,18,2,3,,0,6,27,,0,6,3,3,3,21,10,24,11,3,35,2,5,8,2,7,,,6,51,10,0,,,10,9,3,1,,0,3,7,4,6,11,172,51,15,5,11,4,,29,37,74,5,16,,1,2,3,13,2,,13,10,12,7,30,23,,12,0,10,5,81,3,47,250,38,131,110,0,3,3,66,28,57,177,44,3,5,1,18,28,13,1,19,18,11,29,37,106,140,178,154,152,26,30,45,13,249,82,1,37,9,1,17,0,20,,,3,312,4,4,4,387,322,69,,,3,
171,,,,,,11,3,,,2,,,,1,1,,9,4,,0,,3,,6,3,,11,,3,,,,,,1,,,13,,,,7,2,,0,,,,,10,0,,,13,2,11,2,9,,,,,,,2,,,,3,,,3,24,,,,0,,3,29,11,28,13,3,41,3,3,12,3,9,,,,18,0,,,,0,3,1,0,,,0,0,1,0,1,71,22,30,3,20,9,,20,7,26,0,2,,0,0,,1,,,15,10,11,,9,3,,1,,0,1,31,,4,42,30,84,82,0,5,3,78,54,59,17,5,,9,1,20,32,13,1,26,24,14,32,49,8,29,13,78,67,26,22,46,3,95,38,3,58,16,5,11,0,9,,,,129,4,8,8,234,151,41,,,1,
172,,,11,33,,11,15,,,3,,,,15,,,15,7,,18,,3,,3,3,,11,,3,,,,,,11,,,30,3,,,15,3,7,3,,,,,18,,,,11,3,7,22,90,,,,,,3,11,,,,3,,,15,41,,,,,,15,169,7,26,26,30,,,30,79,30,52,,,3,26,3,,,,,,7,3,,,3,,,,15,49,132,215,26,128,52,,64,33,26,,,,3,3,,7,,,22,15,11,,45,15,,7,,,,18,,22,52,37,64,18,3,41,45,22,415,128,67,26,,56,7,49,37,33,7,117,98,60,143,166,30,86,60,128,249,45,30,60,33,177,132,7,219,60,22,33,3,45,,,,3,37,52,75,22,,,,,7,
173,,,,,,8,2,,,1,,,,2,,,7,2,,,,2,,7,10,8,11,,10,,,,,,2,,1,4,6,,4,5,2,4,1,,,,2,12,2,1,,12,5,12,,,3,,,,2,,3,,8,0,2,,,,13,0,,2,,2,8,9,13,23,16,5,50,6,3,6,,2,,,6,41,1,1,,1,2,,1,,,,0,0,1,2,2,139,24,1,6,7,,,43,70,52,,,,,,,2,,,9,6,8,4,,,,,,,7,40,2,4,63,60,168,434,14,6,6,155,309,2,5,5,,1,1,11,22,5,,8,7,6,9,19,3,12,4,13,19,2,126,179,18,37,17,2,20,5,3,4,,2,,,,4,93,137,127,59,2,0,,,0,
174,11,22,22,68,,205,191,60,,40,,,,9,,40,58,37,,1,,29,,225,372,39,88,,29,,,,,,60,,,78,29,,24,91,16,9,13,,,,,81,347,3,,102,101,133,,,,,,,,,6,,6,,57,,,6,199,,,3,,,,17,367,220,161,71,614,112,,6,3,,,,6,122,1,,,1,,,3,1,,,1,,,,1,480,107,8,,35,6,,186,253,199,,,,1,1,,,,6,182,114,89,,6,,,,,,22,122,,,259,228,548,1592,62,53,76,2262,1203,6,17,,,1,3,111,271,137,52,78,75,35,114,194,8,83,16,96,191,26,875,1300,70,334,181,34,196,65,14,50,29,6,,,,31,300,488,478,212,32,8,,,1,32
175,,,29,88,,,39,,,,,,,,,,,,,39,,,,,39,19,,,,,,,,,19,,,9,29,,48,,,,,,,,,14,,,,,29,29,,,,,,,,9,,,,,,,48,,19,,,,,,4,9,39,,,,48,19,,,4,,,,9,63,,,,,,,,,9,19,9,,,,9,200,73,19,,14,,,68,122,127,,,,,4,29,14,,,9,,,14,19,,,,,,4,29,,,166,122,195,465,39,4,,156,298,127,88,,,,,68,,29,58,4,9,4,4,19,24,4,48,83,44,44,274,210,156,117,63,,39,24,14,14,29,,,,,215,328,,97,465,4,,,,,
