ward_no,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198
31,27,,,,18,136,7,,,,,,,,,,,,,,,,96,13,11,,,,,7,124,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,55,,48,,,,,,,,,,,,,,,51,,,,,,,,,,,,,4,,29,5,,,,,,,,,,,,,,,0,133,13,,,2,1,2,0,1,25,,,,,,,,,,,,,,,,,,4,4,2,,,,3,,5,,,,,,,,3,,,,,,,,,,,,,,1,5,3,3,,,,,,,5,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,131,4,41,10,4,,,,,,9,17,215,76,189,215,,,4,,,,,,8,4,278,30,,,,,,,,,,,10,,5,4,,148,31,30,,42,,,,,,,4,4,65,6,15,,10,,,,,,,,2,,5,,,79,23,,,,,43,,12,,,,21,60,43,,1,336,58,,,6,6,,6,8,53,,,,,,43,13,,6,,,,32,24,,,,8,,2,,,,16,,24,,,,,,,,16,,,,4,4,,,,,,,4,12,8,16,8,,,,,,,,,4,28,8,8,,,,,8,,,,,,,,12,20,,,
33,11,28,17,102,,,68,,,,,,,,,,,,,85,34,,,,,,,,,,,158,90,102,17,,,,,,,,,,,408,22,,,11,5,,,,11,,,22,,,,,297,,,,,,,,,,,,,,,5,17,28,,,,,,,,5,,17,,,28,19,,,,,,,,,,,,,,,,331,56,,,5,5,,11,,56,,,,,,,,,,,,,,,,,,17,,14,5,,8,,,5,,,,,,,,,,11,,,,,,,11,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,43,47,8,95,26,5,133,12,5,20,8,11,,11,10,8,0,,2,224,39,27,2,0,1,,,,,,,74,19,141,186,9,1,47,5,2,6,1,,,11,90,2,,,1,0,,,,1,,4,6,,,,,78,,,,,,1,,,,0,,,,,0,1,10,,,,,,,1,5,1,1,,,81,17,0,,,,,,,,,,,,,,,220,30,,,4,2,,3,5,25,,,,,,,,,,,,,,,,,,1,,2,2,,3,9,,13,,,,,,,,9,,4,,,,,,,4,2,,2,8,4,9,4,,,,,,,,,2,15,4,4,1,,,,4,,,,,,,,6,10,,1,
35,132,164,106,328,78,31,392,42,118,383,142,180,2,202,125,127,43,89,44,452,40,15,2,7,13,,,,,,,63,2,139,629,136,10,698,62,14,95,46,1,90,239,68,1,,3,,8,,,,,,3,6,,1,,,97,96,471,2,62,0,10,8,18,11,34,2,2,35,110,8,8,27,6,,,,4,,9,9,8,2,2,,184,453,29,5,0,0,40,1,12,3,3,10,18,48,39,6,71,423,30,12,,15,1,,4,8,330,0,4,2,4,2,34,10,16,6,50,40,3,21,18,,,,,,12,8,,11,20,2,14,0,3,3,,16,20,4,13,15,4,0,2,8,22,16,0,5,2,0,5,24,5,10,6,3,1,1,3,14,1,4,2,1,7,9,13,8,,,2,1,1,,1,0,2,7,3,3,4,0,6,10
36,27,13,126,92,4,7,7,6,109,370,157,118,,9,14,124,43,5,,2,,1,,2,2,,3,,1,,,,,10,207,75,4,35,14,,24,3,1,17,124,20,,,,2,,,,1,0,1,,,,,,,44,,149,8,65,0,,1,8,1,18,,,2,53,,,,,3,1,,,,,,,,,,10,100,7,3,,1,27,4,3,0,4,7,6,21,28,12,0,85,,,,,,,,,46,,2,1,9,8,13,2,9,1,6,12,4,7,33,,,,,,4,2,,5,3,,,,,,,,,,1,4,,,1,10,2,28,1,1,2,1,,3,1,2,1,,,,,,,,,,,,,4,,,,,,,,,,,,,,,2,5
37,,,,,,,,,,,,,,,,,129,,,,,,,,,,,,,,,,,9,78,24,48,,,,,,,3,135,18,,,,,,,,,,,,,,,,,54,3,147,30,12,,,,,,12,,,51,24,,,,,,,,,,,,,,,,48,102,6,12,6,3,36,,,,3,3,12,42,18,12,3,33,,,,,,,,6,27,,,,3,,30,12,,18,,,6,24,,,,,,,3,15,,9,21,6,18,12,,,,,54,,21,6,,,,,,,,,,,,9,9,12,6,,,,12,,,,,12,18,,,,,,,,,,,,,,,,,,,
38,6,19,24,43,2,22,19,11,36,58,20,342,8,759,439,82,58,20,10,22,,5,,16,18,,17,,5,,,1,,30,598,20,,2258,207,65,284,214,10,260,495,60,,,1,10,12,,,3,4,10,,,,0,,,117,,876,39,40,3,65,26,57,16,167,0,0,19,175,6,8,1,9,7,3,4,11,1,,,0,2,2,,12,522,84,13,4,7,31,1,8,5,4,8,5,13,6,8,54,458,8,1,,1,,,,4,370,4,18,2,1,2,4,1,1,4,144,80,17,3,7,,,,,10,8,6,0,2,17,1,5,,,0,5,25,1,6,13,1,,0,0,18,106,35,26,8,9,5,19,35,6,5,12,17,11,2,4,16,0,25,11,,9,6,5,8,13,,,,,8,2,5,5,19,10,2,,,0,14
39,,2,14,12,,,,,27,60,45,362,4,384,33,71,,,,,,,,,,,,,,,,,,8,127,19,,495,750,153,716,98,10,155,151,16,,,,,,,,,,,,,,,,,32,,257,12,26,,19,13,629,99,215,,,12,13,,,,,,,,,,,,,,,,13,155,68,17,2,4,3,,9,4,93,174,75,7,3,1,37,36,,,,,,,,4,135,4,25,15,16,,146,71,,2,299,133,16,68,4,,,,,14,22,64,27,,,0,18,12,,,,,32,3,0,,,2,57,77,88,96,19,2,7,4,,4,,,,,,0,16,14,4,24,14,,9,4,4,4,9,12,,,,,0,1,1,,,,,,,56
40,,,,,,,,,,,,,,15,27,,,,,,,,,,,,,,,,,,,6,57,,,294,290,325,176,40,4,86,77,12,,,,,,,,,,,,,,,,,35,,120,,26,,,29,215,840,280,,,9,9,,,,,,,,,,,,,,,,12,138,176,110,,,15,,356,178,24,49,183,192,15,4,13,77,,,,,,,,,136,131,352,32,17,3,9,4,,,34,,,4,12,6,,3,4,294,167,12,,13,4,,,,,,,,,,7,9,,,4,4,,,,,,,,4,7,10,3,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
